candidate_id,category,tier,verdict,pexels_photo_id,source_url,sha256,bytes,width,height,centre_luma,already_live,note
ndis_bg_civic_neutral-01,civic_neutral,T2,PASS_GENERIC_ONLY,32613903,https://www.pexels.com/photo/reflections-on-modern-glass-architecture-32613903/,26a2697de4067d9926787dcba8f4e7a1e439fd1f09ea5a24170317747f3180e8,340577,1920,1280,143.7,False,busy/bright glass tower + white mullion; generic-only alternate
ndis_bg_civic_neutral-02,civic_neutral,T2,PASS_WITH_NOTE,18731497,https://www.pexels.com/photo/modern-office-building-18731497/,4c79ebacbdcb01e9cab6c340e37b5548d97d1a2851d1f9eb8f86cbc10efa6055,313167,1920,1280,127.2,False,teal glass + gold diagonal mullions (warm gold slightly off-palette); legible
ndis_bg_civic_neutral-03,civic_neutral,T2,PASS_WITH_NOTE,28733236,https://www.pexels.com/photo/modern-glass-facade-reflecting-sky-patterns-28733236/,1b616bf87326ffe4bf25fc9f648df2ef66d3916aae3bb30f850a0b29ba017157,321038,1920,1280,114.2,False,glass corner + clear sky top; keep headline mid/low off the bright sky
ndis_bg_civic_neutral-04,civic_neutral,T1,PASS,16566144,https://www.pexels.com/photo/windows-of-modern-building-16566144/,17c54fa3d5abee123ccd817daf9e028a40210a429b1c3f36ea038a887bb42e2f,590632,1920,2400,117.1,False,calm curved metal/glass facade; cool neutral; has optimized 1:1 pre-crop from prior lane
ndis_bg_civic_neutral-05,civic_neutral,T1,PASS,1407487,https://www.pexels.com/photo/rectangular-green-and-clear-glass-panels-1407487/,1facbb7593418e81b38f7a1c0f13faf483f00bd8c48a833ab37eac79c9f3562d,194468,1920,1284,103.6,False,teal-green panel grid; most on-palette civic; calm under scrim
ndis_bg_brand_texture-01,brand_texture,T1,PASS,12306417,https://www.pexels.com/photo/smooth-dark-blue-pattern-12306417/,40fb69b42a881533e9f1bb73380330073f6f89e3a2150cabf7ca045ab7b788f5,57991,1920,2877,19.1,True,"LIVE anchor (bg_ny_brand_texture_navy_waves); deep navy silky waves, ideal negative space"
ndis_bg_brand_texture-02,brand_texture,T1,PASS,7629493,https://www.pexels.com/photo/graphic-illustration-of-dark-blue-color-gradient-7629493/,58ee7d2240ac48c6e338355a3a787ba4abd19db56e9ddf4280da425c8c5a2c81,54396,1920,2880,22.1,False,"dark teal->navy gradient wash; excellent legibility, on-palette"
ndis_bg_brand_texture-03,brand_texture,T1,PASS,7605260,https://www.pexels.com/photo/a-clear-blue-night-sky-7605260/,5f3ceb631d4e8734dc7cc366c5daac55a223e3c4b226cfa7d3fc59cb4d0c722d,40809,1920,2880,15.5,False,near-solid deep navy; maximal negative space
ndis_bg_brand_texture-04,brand_texture,-,EXCLUDE,31032752,https://www.pexels.com/photo/modern-abstract-3d-render-with-gradient-curves-31032752/,f8800059a5e2e1a6e66e50797e9066d2f9955c90f25cd181bb831f004bd6b821,129535,1920,2880,32.8,False,lavender/purple accent curve OFF-PALETTE (navy/teal brand)
ndis_bg_data_grid-01,data_grid,T1,PASS_WITH_NOTE,35496838,https://www.pexels.com/photo/abstract-blue-light-streaks-in-motion-35496838/,874049f829bb685bc48e642b7de2684b7d7d73646d3f82ce3e267afb080e41c0,373097,1920,2880,32.4,False,radial blue light streaks from dark centre (info-flow); keep headline central
ndis_bg_data_grid-02,data_grid,T2,PASS_WITH_NOTE,6956433,https://www.pexels.com/photo/abstract-blue-lines-and-drops-on-black-background-6956433/,4341d96103580a60e3e3b4baf66dc022f5b80e50727f0a1dad3e6631e97438fa,133138,1920,1280,3.3,False,teal connected dots/lines on black; bright teal blob top competes - keep headline low
ndis_bg_data_grid-03,data_grid,-,EXCLUDE,36536054,https://www.pexels.com/photo/abstract-blue-grid-pattern-design-36536054/,fe2f49bc1976be05e410cc622ef0ad08d57d2f88064df51f31d2cd1430144a7d,1315615,1920,2880,109.5,False,bright blue mesh; busy + low text-contrast (text-unsafe)
ndis_bg_w-bt-a,brand_texture,T1,PASS,7629924,,96445e0bdf5ad1ea9182069ef130452f1a1d9afa106d7c6d0c48eb43c65cf4ff,120089,1920,2880,14.7,False,"NEW - dark navy with subtle star/particle sparkle; calm, adds texture without competing"
ndis_bg_w-bt-b,brand_texture,-,EXCLUDE,13568041,,279de9b1c5462a0e8774f192bb2aebf937a67dfdfd84ce71af29f851f35c7dd1,111448,1920,1080,61.9,False,NEW - bright metallic chrome ridges; text competes with highlights (text-unsafe)
ndis_bg_w-bt-c,brand_texture,-,EXCLUDE,10997877,,1641d31ceeff6fe9dc49896f35215c570c3ff1b08bb90ff70340736b55436627,537519,1920,2557,43.6,False,NEW - busy blue marble swirl + white streaks near headline (text-marginal)
ndis_bg_w-bt-d,brand_texture,-,EXCLUDE,31032753,,735bf4669ac4c66ab72fb0058fd4ab98b7c38b0d06dfcd4853bfd1f1a78d8297,76014,1920,2880,12.1,False,"NEW - purple tint + bright curved highlight (UP Modern series, same off-palette issue as bt-04)"
ndis_bg_w-bt-e,brand_texture,T1,PASS,7630006,,f0f385dc13b832d73050ed64897d7fff8c61d1b7fe66825ba58afb25fb46f615,42170,1920,2880,13.4,False,NEW - flattest dark navy of the whole set; cleanest headline field
ndis_bg_w-bt-f,brand_texture,T2,PASS_WITH_NOTE,8193814,,a99671f1e5b76a1f14d1b614bb2dd5c1e51057bc165f51d5f5bbd5eee9f9515c,62778,1920,1280,40.0,False,"NEW - soft blue smoke on black; elegant, slight central brightness - keep headline steady"
ndis_bg_w-bt-g,brand_texture,-,REJECT,28428584,,2afc7409fe8e9ff223fc7df971b7998b14e07adcc13b57931b3f1fb8a8c7aeb1,76004,1920,1080,55.8,False,NEW - desaturated GREY metallic spikes; off-palette + busy
ndis_bg_w-bt-h,brand_texture,-,REJECT_RISK,37955296,,5afa5d48241cf70829bc6913767e3bfc4db37ab958b31c8ccc3e90a053b704fa,1005438,1920,2880,19.9,False,NEW - glowing circles + gold specks read as cellular/petri (medical-adjacent RISK for disability brand) + gold off-palette
ndis_bg_w-dg-a,data_grid,T1,PASS,34851018,,014d2f6b08898bc6c3df837d96fa43b0c51f85c119f87c03099ed89a0d30bcfc,327198,1920,1440,19.4,False,NEW - dark navy woven grid/structure; STRONGEST data-grid; calm + text-safe
ndis_bg_w-dg-b,data_grid,T2,PASS_WITH_NOTE,12707786,,413c47c05d270a7a37cf66e89d677517d3fa5b09c14bc4a8505ec872ffb4fab4,243036,1920,2880,18.0,False,NEW - dark navy zoom/convergence lines (information-flow); motion register
